代码,名称,信号日期,选股逻辑,初始价,当前价,累计涨跌%,3天胜,7天胜,至今胜
002456,欧菲光,2025-12-17,超跌+筑底,10.47,10.65,1.72,1,1,1
600094,大名城,2025-12-17,筑底,4.06,4.33,6.65,1,1,1
002616,长青集团,2025-12-17,超跌+筑底,5.45,5.53,1.47,1,1,1
002568,百润股份,2025-12-17,筑底,21.53,21.6,0.33,1,1,1
002365,永安药业,2025-12-17,超跌+筑底,14.95,15.19,1.61,1,1,1
000677,恒天海龙,2025-12-18,超跌+筑底,4.11,4.5,9.49,1,1,1
000010,美丽生态,2025-12-18,超跌+筑底,3.46,3.63,4.91,1,1,1
000819,岳阳兴长,2025-12-18,超跌+筑底,15.75,16.53,4.95,1,1,1
002640,跨境通,2025-12-17,超跌,4.34,4.76,9.68,1,1,1
600845,宝信软件,2025-12-17,超跌+筑底,20.03,20.34,1.55,1,1,1
600079,人福医药,2025-12-17,放量,18.1,18.85,4.14,1,1,1
600548,深高速,2025-12-17,超跌+筑底,8.88,8.92,0.45,0,1,1
600316,洪都航空,2025-12-17,超跌+筑底,30.51,32.33,5.97,1,1,1
605378,野马电池,2025-12-17,常规,22.55,22.93,1.69,0,1,1
603117,万林物流,2025-12-17,超跌+筑底,4.75,4.84,1.89,1,1,1
603848,好太太,2025-12-17,筑底+放量,18.87,18.28,-3.13,1,0,0
002951,金时科技,2025-12-17,超跌+筑底,13.0,16.07,23.62,1,1,1
603818,曲美家居,2025-12-17,超跌+筑底,3.55,3.65,2.82,1,1,1
002530,金财互联,2025-12-17,放量,9.8,10.32,5.31,1,1,1
002095,生 意 宝,2025-12-18,筑底,17.66,17.83,0.96,1,1,1
605286,同力日升,2025-12-17,超跌+筑底+放量,37.68,38.03,0.93,0,1,1
000628,高新发展,2025-12-18,常规,43.66,44.74,2.47,1,1,1
002674,兴业科技,2025-12-17,常规,12.92,13.87,7.35,1,1,1
600560,金自天正,2025-12-17,超跌+筑底,15.55,16.01,2.96,1,1,1
603605,珀莱雅,2025-12-17,筑底,67.78,67.88,0.15,1,1,1
002179,中航光电,2025-12-18,常规,33.47,34.89,4.24,1,1,1
002959,小熊电器,2025-12-17,常规,42.93,42.78,-0.35,1,0,0
600749,西藏旅游,2025-12-17,筑底,16.86,16.96,0.59,1,1,1
003040,楚天龙,2025-12-17,放量,18.34,19.34,5.45,0,1,1
600178,东安动力,2025-12-17,超跌,11.6,11.96,3.1,1,1,1
002324,普利特,2025-12-17,筑底,12.34,14.81,20.02,1,1,1
000045,深纺织Ａ,2025-12-18,超跌+筑底+放量,11.92,12.02,0.84,1,1,1
002037,保利联合,2025-12-18,常规,9.45,9.63,1.9,1,1,1
601718,际华集团,2025-12-17,超跌+筑底,3.33,3.4,2.1,1,1,1
