代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
000968,蓝焰控股,20260129,E_Leader_Restart (二次启动),8.18,-11.61%,-0.16%,12,1,126,-----------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
000159,国际实业,20260129,E_Leader_Restart (二次启动),7.13,-18.37%,-11.23%,15,1,122,--------------+++++++----------------------------------------------+------------------------------------------------------,深度套牢 | 冲高回落
000565,渝三峡Ａ,20260129,E_Leader_Restart (二次启动),8.49,-28.98%,-16.39%,7,1,126,------++---+++++---+++--------------------------------------------------------------------------------------------------------,深度套牢
600173,卧龙新能,20260129,E_Leader_Restart (二次启动),8.88,-29.05%,-12.54%,109,1,126,------------------------------------------------------------------------------------------------------------++++++++++++------,深度套牢 | 冲高回落
002165,红 宝 丽,20260129,E_Leader_Restart (二次启动),10.8,-35.46%,-18.50%,1,30,126,+++++++++++++++++++++++++++++-------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603012,创力集团,20260511,C_New_Strategy (最高共振),9.55,-14.87%,-11.08%,1,3,64,++------+++++---------------------------------------------------,深度套牢 | 冲高回落
603758,秦安股份,20260511,B_Low_Position_Start (低风险埋伏),13.44,-14.21%,-23.98%,从未,1,64,----------------------------------------------------------------,长期未回正 | 深度套牢
603055,台华新材,20260714,A_Strong_Pullback (中风险接力),8.65,-2.43%,-20.16%,1,2,19,+------------+-----,正常
600267,海正药业,20260714,D_Strong_Breakout (高风险追涨/优化),11.33,25.68%,6.56%,1,3,19,++-++++++++++++++++,正常
603012,创力集团,20260516,C_New_Strategy (最高共振),9.55,-14.87%,-11.81%,5,1,60,----+++++---------------------------------------------------,深度套牢 | 冲高回落
603758,秦安股份,20260516,B_Low_Position_Start (低风险埋伏),13.44,-14.21%,-25.41%,从未,1,60,------------------------------------------------------------,长期未回正 | 深度套牢
603012,创力集团,20260514,C_New_Strategy (最高共振),9.55,-14.87%,-11.68%,6,1,61,-----+++++---------------------------------------------------,深度套牢 | 冲高回落
603758,秦安股份,20260514,B_Low_Position_Start (低风险埋伏),13.44,-14.21%,-25.02%,从未,1,61,-------------------------------------------------------------,长期未回正 | 深度套牢
002585,双星新材,20260514,E_Leader_Restart (二次启动),8.78,1.94%,20.49%,3,1,57,--+--+++++++++++++++++++++++++++++++++++++++----------+-+,正常
002107,沃华医药,20260412,E_Leader_Restart (二次启动),7.53,-16.33%,-12.73%,2,1,82,-+++++++++--+---------------------------------------------------------------------,深度套牢 | 冲高回落
603012,创力集团,20260512,C_New_Strategy (最高共振),9.55,-14.87%,-11.30%,1,2,63,+------+++++---------------------------------------------------,深度套牢 | 冲高回落
603758,秦安股份,20260512,B_Low_Position_Start (低风险埋伏),13.44,-14.21%,-24.33%,从未,1,63,---------------------------------------------------------------,长期未回正 | 深度套牢
600028,中国石化,20260305,C_New_Strategy (最高共振),7.11,-28.27%,-25.22%,从未,1,103,-------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000993,闽东电力,20260305,E_Leader_Restart (二次启动),14.0,-26.50%,-11.33%,1,8,103,+++++++-+++-++++++++------------------------+---+-----+++++++------------------------------------------,深度套牢 | 冲高回落
000819,岳阳兴长,20260305,D_Strong_Breakout (高风险追涨/优化),17.48,-31.01%,-19.04%,从未,1,103,-------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603890,春秋电子,20260607,E_Leader_Restart (二次启动),31.24,-40.65%,-28.12%,从未,1,45,---------------------------------------------,长期未回正 | 深度套牢
002137,实益达,20260607,E_Leader_Restart (二次启动),10.35,-22.42%,-10.24%,2,1,45,-++-----+++-+++++-+++++++--------------------,深度套牢 | 冲高回落
000719,中原传媒,20260206,C_New_Strategy (最高共振),13.44,-8.04%,-3.74%,2,1,120,-++----++--------------+-----------++++++++++++++++-+++++++++++++-------+-----------------------------------------------,冲高回落
000937,冀中能源,20260206,A_Strong_Pullback (中风险接力),5.67,-16.40%,-9.09%,7,1,120,------+-+++++++++++++++-++++++++--------------+--++-+-+-----------------++++--------------------------------------------,深度套牢 | 冲高回落
600463,空港股份,20260206,B_Low_Position_Start (低风险埋伏),11.73,-29.58%,-18.31%,1,10,120,+++++++++---------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600579,中化装备,20260620,E_Leader_Restart (二次启动),7.37,-0.54%,0.21%,1,3,36,++-++++++++++++++-------------------,冲高回落
600992,贵绳股份,20260725,E_Leader_Restart (二次启动),11.35,-8.02%,-0.86%,1,6,11,+++++------,冲高回落
603577,汇金通,20260725,E_Leader_Restart (二次启动),10.16,2.85%,3.71%,1,6,11,+++++-----+,正常
002250,联化科技,20260725,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-2.15%,8,1,11,-------+-++,正常
603006,联明股份,20260427,D_Strong_Breakout (高风险追涨/优化),13.64,-17.52%,-6.49%,1,2,71,+--+++++++++++++---++++--+++--------+++++++++++------------------------,深度套牢 | 冲高回落
002209,达 意 隆,20260115,C_New_Strategy (最高共振),17.25,-34.26%,-20.61%,62,1,136,-------------------------------------------------------------+--------------------------------------------------------------------------,深度套牢
002197,ST证通,20260115,A_Strong_Pullback (中风险接力),11.0,-40.27%,-31.33%,从未,1,144,------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600095,湘财股份,20260115,A_Strong_Pullback (中风险接力),11.82,-30.80%,-22.03%,从未,1,136,----------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002519,银河电子,20260115,E_Leader_Restart (二次启动),11.46,-50.09%,-35.37%,从未,1,136,----------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603282,亚光股份,20260115,E_Leader_Restart (二次启动),22.4,-32.90%,-18.16%,25,1,136,------------------------++++---+-------+------------------------------------------------------------------------------------------------,深度套牢
600783,鲁信创投,20260115,E_Leader_Restart (二次启动),35.5,-47.55%,-40.70%,从未,1,144,------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000066,中国长城,20260115,E_Leader_Restart (二次启动),16.74,-12.13%,-1.15%,4,1,136,---+++++----------------------++++------------------------------+++++++++++++++++++++++++++-------+++++++++++++++++++-------------------,深度套牢 | 冲高回落
002085,万丰奥威,20260115,D_Strong_Breakout (高风险追涨/优化),17.32,-37.41%,-22.18%,从未,1,135,---------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600769,祥龙电业,20260115,D_Strong_Breakout (高风险追涨/优化),13.83,10.12%,11.52%,33,1,136,--------------------------------++++++-------++++--+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------+++++,正常
601098,中南传媒,20260101,B_Low_Position_Start (低风险埋伏),11.26,-6.84%,-3.46%,1,10,139,++++-+-++-----------+---------------------+---------------------------+++++++++-++---------------------------------------------------------,冲高回落
002361,神剑股份,20260101,E_Leader_Restart (二次启动),14.34,-28.52%,1.39%,2,1,153,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-----------------------------------,深度套牢 | 冲高回落
603332,苏州龙杰,20260101,E_Leader_Restart (二次启动),13.88,-18.08%,-8.83%,11,1,144,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
603567,珍宝岛,20260501,B_Low_Position_Start (低风险埋伏),7.08,-5.79%,-13.59%,1,20,64,+++++++++++++++++++---------------------------------------------,冲高回落
002332,仙琚制药,20251209,B_Low_Position_Start (低风险埋伏),9.54,-10.17%,-7.66%,43,1,139,------------------------------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002585,双星新材,20251209,E_Leader_Restart (二次启动),7.16,25.00%,18.49%,18,1,157,-----------------+++++----+++++++++------+++++++++++++++++++++++-----++------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603738,泰晶科技,20251209,E_Leader_Restart (二次启动),16.96,113.68%,88.04%,21,1,161,--------------------++-----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002093,国脉科技,20251209,E_Leader_Restart (二次启动),13.59,-48.71%,-34.72%,43,1,139,------------------------------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603421,鼎信通讯,20251224,A_Strong_Pullback (中风险接力),8.43,-31.67%,-9.69%,46,1,146,---------------------------------------------++++++++++++++++++-+++-+--------------++++++--+------------------------------------------------------,深度套牢 | 冲高回落
603977,国泰集团,20251224,E_Leader_Restart (二次启动),14.59,-20.56%,-1.84%,3,1,146,--+-----+++++++++++++++++------+++-++++++++++++--+++++++++++++++-+++----+++++-------++-+----------+++++++-------------+++++++---------------------,深度套牢 | 冲高回落
600589,大位科技,20260220,E_Leader_Restart (二次启动),13.19,-37.98%,-21.61%,53,1,115,----------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260220,E_Leader_Restart (二次启动),12.77,-59.28%,-43.64%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600667,太极实业,20260119,C_New_Strategy (最高共振),9.3,84.41%,50.74%,1,13,129,++++++++++++-++++++++++++++++++++++++++++++-----+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
603058,永吉股份,20260119,C_New_Strategy (最高共振),10.56,-2.46%,3.00%,1,63,133,++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++-+-------------------------------------------------------,冲高回落
600744,华银电力,20260119,C_New_Strategy (最高共振),6.63,16.59%,19.75%,1,6,134,+++++----------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++---------------++++++++++++++++++,正常
603618,杭电股份,20260119,A_Strong_Pullback (中风险接力),8.51,217.51%,237.15%,1,8,134,+++++-+-+++++++++++++++++++++++++++++-++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002112,三变科技,20260119,E_Leader_Restart (二次启动),19.97,-11.37%,-4.26%,1,9,134,++++++++-+++++++++++++++++++++++++++++++++++++++++++++++++++++-++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
002114,罗平锌电,20260119,E_Leader_Restart (二次启动),9.73,-21.27%,-13.27%,1,10,134,+++++++++-----------+++++++++++----------------------------------------+--------------------------------------------------------------,深度套牢 | 冲高回落
603023,威帝股份,20260119,E_Leader_Restart (二次启动),5.92,-32.60%,-23.47%,2,1,134,-+++++--------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002845,同兴达,20260119,D_Strong_Breakout (高风险追涨/优化),15.41,-19.40%,-4.77%,4,1,129,---+----------------++---++++++++-----------------------------------------++++++++-+--++-+----++++++++-++++---++++---------------,深度套牢 | 冲高回落
601199,江南水务,20260710,A_Strong_Pullback (中风险接力),6.05,0.17%,-5.82%,4,1,21,---+-+--------------+,正常
600129,太极集团,20260710,E_Leader_Restart (二次启动),15.39,5.59%,3.73%,1,5,21,++++-+-++-+++-++++-++,正常
000524,岭南控股,20260710,E_Leader_Restart (二次启动),9.68,-3.00%,-10.71%,从未,1,17,-----------------,长期未回正
600998,九州通,20260126,C_New_Strategy (最高共振),5.58,-9.50%,-8.75%,从未,1,129,---------------------------------------------------------------------------------------------------------------------------------,长期未回正
000670,盈方微,20260126,E_Leader_Restart (二次启动),9.69,-28.59%,-17.59%,76,1,129,---------------------------------------------------------------------------+---------+-------------------------------------------,深度套牢
600192,长城电工,20260126,E_Leader_Restart (二次启动),11.35,-30.48%,-28.51%,从未,1,129,---------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002727,一心堂,20260126,D_Strong_Breakout (高风险追涨/优化),14.04,-16.38%,-13.34%,2,1,129,-+++--++-++---------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603883,老百姓,20260126,D_Strong_Breakout (高风险追涨/优化),16.44,-22.51%,-20.07%,从未,1,129,---------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600318,新力金融,20251223,A_Strong_Pullback (中风险接力),9.07,-26.68%,-15.93%,1,3,139,++------------------------+++++++++++-----+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603535,嘉诚国际,20251223,B_Low_Position_Start (低风险埋伏),11.59,-44.18%,-28.50%,从未,1,147,---------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600889,南京化纤,20251223,B_Low_Position_Start (低风险埋伏),15.75,-12.89%,-1.10%,1,42,138,+++++++++++++++++++++++++++++++++++++++++-----------------------+-------++---------++++++++-+-+++++++--------+++++-++---------------------,深度套牢 | 冲高回落
002735,王子新材,20251223,E_Leader_Restart (二次启动),17.79,-32.49%,-11.23%,1,15,139,++++++++++++++-++++++++++++++----------------------------------------------------------------++++++++++++----------------------------------,深度套牢 | 冲高回落
002491,通鼎互联,20251223,E_Leader_Restart (二次启动),6.95,110.07%,130.50%,25,1,147,------------------------+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++,正常
002766,索菱股份,20251223,E_Leader_Restart (二次启动),6.02,-31.89%,-21.12%,1,2,136,+---++----------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600468,百利电气,20251223,E_Leader_Restart (二次启动),7.22,-8.17%,-1.41%,2,1,151,-+------++++++++++++++++---++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------------------------------,冲高回落
002204,大连重工,20251223,E_Leader_Restart (二次启动),7.65,-29.28%,-15.13%,2,1,151,-+-------++++------++++-----+--------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002350,北京科锐,20260326,E_Leader_Restart (二次启动),15.19,9.81%,-1.72%,26,1,92,-------------------------+++++++++++++++++++----++--+++-----------------+-+------+------++++,正常
600992,贵绳股份,20260718,E_Leader_Restart (二次启动),11.35,-8.02%,1.40%,1,11,16,++++++++++------,冲高回落
603577,汇金通,20260718,E_Leader_Restart (二次启动),10.16,2.85%,3.27%,1,3,16,++-+++++++-----+,正常
002250,联化科技,20260718,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-1.63%,1,4,16,+++---------+-++,正常
002666,德联集团,20251225,A_Strong_Pullback (中风险接力),5.63,-26.64%,-10.90%,17,1,145,----------------++++++-+--+-++++--+++++--+++++++++++---------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600877,电科芯片,20251225,A_Strong_Pullback (中风险接力),16.07,-16.12%,3.99%,1,54,149,+++++++++++++++++++++++++++++++++++++++++++++++++++++-------+---++++++++++++++++++++++++++++-++--------------------+++-+++++--++---------------------,深度套牢 | 冲高回落
601133,柏诚股份,20251225,E_Leader_Restart (二次启动),17.48,50.46%,35.81%,14,1,149,-------------+++++++++-+++++-+----+++++---------------+++++-+++++++++++++++++++++++++++++++++++++++++++++--++++++++++++++++++++++++++++++++++++++++++,正常
600992,贵绳股份,20260722,E_Leader_Restart (二次启动),11.35,-8.02%,0.33%,1,8,13,+++++++------,冲高回落
603577,汇金通,20260722,E_Leader_Restart (二次启动),10.16,2.85%,3.48%,1,8,13,+++++++-----+,正常
002250,联化科技,20260722,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-2.61%,10,1,13,---------+-++,正常
600589,大位科技,20260222,E_Leader_Restart (二次启动),13.19,-37.98%,-21.61%,53,1,115,----------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260222,E_Leader_Restart (二次启动),12.77,-59.28%,-43.64%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000600,建投能源,20260317,E_Leader_Restart (二次启动),10.19,-14.92%,-6.34%,6,1,99,-----++---------------------------------+---++++++++++++--++++-------------------------------------,深度套牢 | 冲高回落
000048,京基智农,20260614,E_Leader_Restart (二次启动),18.91,15.65%,7.81%,2,1,40,-++-+++++++++++++++++++--++--------+++++,正常
002268,电科网安,20251228,C_New_Strategy (最高共振),20.33,-28.97%,-17.61%,2,1,147,-+++++++++++++---+-------------+-------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000411,英特集团,20251228,A_Strong_Pullback (中风险接力),12.86,-23.56%,-14.49%,1,8,136,+++++++--------------------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002228,合兴包装,20251228,E_Leader_Restart (二次启动),6.33,-50.87%,-40.46%,从未,1,156,------------------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002427,尤夫股份,20251228,E_Leader_Restart (二次启动),6.76,-36.24%,-12.19%,1,3,144,++----+-+-+++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600271,航天信息,20260713,B_Low_Position_Start (低风险埋伏),6.86,2.77%,-1.27%,14,1,20,-------------+++++++,正常
600604,市北高新,20260713,B_Low_Position_Start (低风险埋伏),4.2,6.67%,2.57%,1,6,20,+-+-+-----++++++++++,正常
000524,岭南控股,20260713,E_Leader_Restart (二次启动),9.87,-4.86%,-12.58%,从未,1,16,----------------,长期未回正
600589,大位科技,20260224,E_Leader_Restart (二次启动),13.19,-37.98%,-21.72%,52,1,114,---------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260224,E_Leader_Restart (二次启动),12.77,-59.28%,-43.94%,从未,1,110,--------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
601098,中南传媒,20260103,B_Low_Position_Start (低风险埋伏),11.26,-6.84%,-3.46%,1,10,139,++++-+-++-----------+---------------------+---------------------------+++++++++-++---------------------------------------------------------,冲高回落
002361,神剑股份,20260103,E_Leader_Restart (二次启动),14.34,-28.52%,1.39%,2,1,153,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-----------------------------------,深度套牢 | 冲高回落
603332,苏州龙杰,20260103,E_Leader_Restart (二次启动),13.88,-18.08%,-8.83%,11,1,144,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
002250,联化科技,20260806,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,4.89%,1,从未,2,++,正常
600589,大位科技,20260217,E_Leader_Restart (二次启动),13.19,-37.98%,-21.61%,53,1,115,----------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260217,E_Leader_Restart (二次启动),12.77,-59.28%,-43.64%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002268,电科网安,20251229,C_New_Strategy (最高共振),20.33,-28.97%,-17.71%,1,14,146,+++++++++++++---+-------------+-------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000411,英特集团,20251229,A_Strong_Pullback (中风险接力),12.86,-23.56%,-14.49%,1,8,136,+++++++--------------------------------+------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002228,合兴包装,20251229,E_Leader_Restart (二次启动),6.33,-50.87%,-40.66%,从未,1,155,-----------------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002427,尤夫股份,20251229,E_Leader_Restart (二次启动),6.76,-36.24%,-12.28%,1,2,143,+----+-+-+++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
600992,贵绳股份,20260721,E_Leader_Restart (二次启动),11.35,-8.02%,0.74%,1,9,14,++++++++------,冲高回落
603577,汇金通,20260721,E_Leader_Restart (二次启动),10.16,2.85%,3.21%,2,1,14,-+++++++-----+,正常
002250,联化科技,20260721,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-2.34%,1,2,14,+---------+-++,正常
601098,中南传媒,20260104,B_Low_Position_Start (低风险埋伏),11.26,-6.84%,-3.46%,1,10,139,++++-+-++-----------+---------------------+---------------------------+++++++++-++---------------------------------------------------------,冲高回落
002361,神剑股份,20260104,E_Leader_Restart (二次启动),14.34,-28.52%,1.39%,2,1,153,-+++++++++--------------+++----+----------------------++++++++++++++++++++++++++++++++++++++++++++++++++++++++----++++-----------------------------------,深度套牢 | 冲高回落
603332,苏州龙杰,20260104,E_Leader_Restart (二次启动),13.88,-18.08%,-8.83%,11,1,144,----------++++++-------+++++-++++--------+-++++--------------------++++++++++++++++++++---------------------------------------------------------,深度套牢 | 冲高回落
603055,台华新材,20260715,A_Strong_Pullback (中风险接力),8.65,-2.43%,-21.32%,13,1,18,------------+-----,正常
600267,海正药业,20260715,D_Strong_Breakout (高风险追涨/优化),11.33,25.68%,6.60%,1,2,18,+-++++++++++++++++,正常
000559,万向钱潮,20260518,A_Strong_Pullback (中风险接力),17.5,-37.83%,-25.78%,1,5,67,++++---------------------------------------------------------------,深度套牢
603809,豪能股份,20260518,A_Strong_Pullback (中风险接力),11.48,-22.82%,-16.70%,1,2,67,+------------------------------------------------------------------,深度套牢
603018,华设集团,20260518,A_Strong_Pullback (中风险接力),7.6,-28.82%,-19.46%,1,2,55,+------------------------------------------------------,深度套牢
002617,露笑科技,20260518,E_Leader_Restart (二次启动),9.36,-31.84%,-12.82%,1,3,59,++--++++---------------+++-+++++--+-+----------------------,深度套牢 | 冲高回落
002254,泰和新材,20260518,E_Leader_Restart (二次启动),14.18,-11.14%,0.93%,1,9,59,++++++++-----++--++++++++++++++++++--+---------------------,深度套牢 | 冲高回落
002277,友阿股份,20260518,E_Leader_Restart (二次启动),6.54,-11.16%,-6.18%,3,1,55,--++++++++--++-++--------------------------------------,深度套牢 | 冲高回落
600354,敦煌种业,20251210,A_Strong_Pullback (中风险接力),6.73,-7.13%,-8.35%,2,1,136,-++++++++++++++++++--+++++++++++++++++++----++------------------------------------------------------------------------------------------,冲高回落
603023,威帝股份,20251210,E_Leader_Restart (二次启动),5.1,-21.76%,-10.78%,1,12,136,+++++++++++---++++---++++----++++------------+++-------------------------+----+---------------------------------------------------------,深度套牢 | 冲高回落
002752,昇兴股份,20251210,E_Leader_Restart (二次启动),8.55,-30.18%,-22.76%,12,1,156,-----------+------------------------------------------------------------------------------------------------------------------------------------------------,深度套牢
603709,中源家居,20251210,E_Leader_Restart (二次启动),19.7,-45.03%,-15.73%,1,5,155,++++-----------------------------------------------------------------------------------------+-+-----------------------------------------------------------,深度套牢 | 冲高回落
600992,贵绳股份,20260719,E_Leader_Restart (二次启动),11.35,-8.02%,1.40%,1,11,16,++++++++++------,冲高回落
603577,汇金通,20260719,E_Leader_Restart (二次启动),10.16,2.85%,3.27%,1,3,16,++-+++++++-----+,正常
002250,联化科技,20260719,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-1.63%,1,4,16,+++---------+-++,正常
600589,大位科技,20260214,E_Leader_Restart (二次启动),13.19,-37.98%,-21.61%,53,1,115,----------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260214,E_Leader_Restart (二次启动),12.77,-59.28%,-43.64%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600601,方正科技,20260602,A_Strong_Pullback (中风险接力),13.43,-26.58%,-8.63%,9,1,44,--------+++++--+--++++++-+------------------,深度套牢 | 冲高回落
000791,甘肃能源,20260602,E_Leader_Restart (二次启动),9.84,-19.31%,-16.22%,1,2,48,+-----------------------------------------------,深度套牢 | 冲高回落
002587,奥拓电子,20260701,A_Strong_Pullback (中风险接力),7.33,-22.78%,-23.80%,从未,1,28,----------------------------,长期未回正 | 深度套牢
600058,五矿发展,20260701,E_Leader_Restart (二次启动),11.88,-4.88%,-18.18%,从未,1,28,----------------------------,长期未回正
002383,合众思壮,20251217,C_New_Strategy (最高共振),10.62,-33.15%,-10.56%,3,1,155,--+-+++++++++++++++++++++++++++++++++++++++++++++++++------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
001318,阳光乳业,20251217,A_Strong_Pullback (中风险接力),16.67,-34.55%,-20.92%,2,1,150,-++---------------------------------------------------------------------------------------------------------------------------------------------------,深度套牢
600721,百花医药,20251217,A_Strong_Pullback (中风险接力),10.45,30.72%,-15.17%,1,9,155,++++++++------------------------------------------------------+----------------------------------------------------------------------------------++++++++++,正常
601366,利群股份,20251217,B_Low_Position_Start (低风险埋伏),4.99,-29.06%,-15.66%,1,9,150,++++++++-----+++--+++++++++++---++++------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000950,重药控股,20251217,E_Leader_Restart (二次启动),6.58,-15.35%,-11.28%,1,5,151,++++----------------------------------------------------------------+++--------------------++++--------------------------------------------------------,深度套牢 | 冲高回落
600271,航天信息,20260712,B_Low_Position_Start (低风险埋伏),6.86,2.77%,-1.45%,15,1,21,--------------+++++++,正常
600604,市北高新,20260712,B_Low_Position_Start (低风险埋伏),4.2,6.67%,2.44%,2,1,21,-+-+-+-----++++++++++,正常
000524,岭南控股,20260712,E_Leader_Restart (二次启动),9.87,-4.86%,-12.43%,从未,1,17,-----------------,长期未回正
600992,贵绳股份,20260728,E_Leader_Restart (二次启动),11.35,-8.02%,-3.18%,1,4,9,+++------,冲高回落
603577,汇金通,20260728,E_Leader_Restart (二次启动),10.16,2.85%,2.60%,1,4,9,+++-----+,正常
002250,联化科技,20260728,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-1.82%,6,1,9,-----+-++,正常
002250,联化科技,20260804,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,2.14%,1,2,4,+-++,正常
600992,贵绳股份,20260727,E_Leader_Restart (二次启动),11.35,-8.02%,-1.78%,1,5,10,++++------,冲高回落
603577,汇金通,20260727,E_Leader_Restart (二次启动),10.16,2.85%,3.04%,1,5,10,++++-----+,正常
002250,联化科技,20260727,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-2.10%,7,1,10,------+-++,正常
600992,贵绳股份,20260801,E_Leader_Restart (二次启动),11.35,-8.02%,-11.51%,从未,1,6,------,长期未回正
603577,汇金通,20260801,E_Leader_Restart (二次启动),10.16,2.85%,-1.48%,6,1,6,-----+,正常
002250,联化科技,20260801,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-0.10%,3,1,6,--+-++,正常
600589,大位科技,20260216,E_Leader_Restart (二次启动),13.19,-37.98%,-21.61%,53,1,115,----------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260216,E_Leader_Restart (二次启动),12.77,-59.28%,-43.64%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
600992,贵绳股份,20260731,E_Leader_Restart (二次启动),11.35,-8.02%,-11.51%,从未,1,6,------,长期未回正
603577,汇金通,20260731,E_Leader_Restart (二次启动),10.16,2.85%,-1.48%,6,1,6,-----+,正常
002250,联化科技,20260731,D_Strong_Breakout (高风险追涨/优化),16.26,7.87%,-0.10%,3,1,6,--+-++,正常
600028,中国石化,20260304,C_New_Strategy (最高共振),7.11,-28.27%,-24.99%,从未,1,104,--------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
000993,闽东电力,20260304,E_Leader_Restart (二次启动),14.0,-26.50%,-11.17%,1,9,104,++++++++-+++-++++++++------------------------+---+-----+++++++------------------------------------------,深度套牢 | 冲高回落
000819,岳阳兴长,20260304,D_Strong_Breakout (高风险追涨/优化),17.48,-31.01%,-18.92%,从未,1,104,--------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
603703,盛洋科技,20251222,E_Leader_Restart (二次启动),14.75,-34.51%,-13.70%,9,1,160,--------++++++++++++++++++--++--+-----++++----------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
603123,翠微股份,20251222,E_Leader_Restart (二次启动),13.98,-29.47%,-20.86%,30,1,136,-----------------------------+----------------------------------------------------------------------------------------------------------,深度套牢
