代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
000338,2026-04-30,31.2,34.32,10.0,10.0,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002648,2026-04-30,29.6,29.48,-0.41,-0.41,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002531,2026-04-30,12.02,11.66,-3.0,-3.0,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
605077,2026-04-30,17.04,17.71,3.93,3.93,1,1,趋势: 高于MA20
600719,2026-04-30,7.75,8.53,10.06,10.06,1,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601198,2026-04-30,13.2,13.39,1.44,1.44,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600897,2026-04-30,16.12,16.02,-0.62,-0.62,0,1,动量: 突破转强 (阳线上穿5/10)
603587,2026-04-30,13.34,13.19,-1.12,-1.12,0,1,量能: 放量 (1.51X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601187,2026-04-30,7.72,7.69,-0.39,-0.39,0,1,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
605108,2026-04-30,15.92,15.51,-2.58,-2.58,0,1,量能: 放量 (1.85X)
600817,2026-04-30,11.85,11.8,-0.42,-0.42,0,1,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.08%, -5.01%)"
603900,2026-04-30,7.98,7.97,-0.13,-0.13,0,1,量能: 放量 (2.14X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002366,2026-04-30,7.49,7.64,2.0,2.0,1,1,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601636,2026-04-30,6.33,6.42,1.42,1.42,1,1,"形态: 两连阴 (-4.39%, -0.31%) | 趋势: 高于MA20"
002492,2026-04-30,8.04,8.01,-0.37,-0.37,0,1,"形态: 10日内有涨停 | 形态: 两连阴 (-2.40%, -0.37%) | 趋势: 高于MA20"
