Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600331,宏达股份,2026-04-24,18.24,7.74%,"形态: 两连阴 (-0.98%, -1.23%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",15.84,16.59,1.44X
600490,鹏欣资源,2026-04-24,8.88,2.19%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),8.20,8.80,0.87X
601001,晋控煤业,2026-04-24,17.94,-0.06%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,16.81,16.56,0.95X
603738,泰晶科技,2026-04-24,39.81,7.59%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),28.80,23.04,1.27X
002846,英联股份,2026-04-24,15.93,-1.36%,形态: 10日内有涨停 | 趋势: 高于MA20,14.82,15.25,0.71X
000949,新乡化纤,2026-04-24,7.88,-3.08%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,7.31,7.18,0.73X
002023,海特高新,2026-04-24,12.4,-3.95%,形态: 10日内有涨停 | 趋势: 高于MA20,11.42,11.78,0.81X
600236,桂冠电力,2026-04-24,9.75,-3.94%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.67%, -2.40%)",9.77,9.37,0.91X
600678,四川金顶,2026-04-24,12.18,3.31%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),10.78,11.51,1.19X
002534,西子洁能,2026-04-24,18.54,-0.91%,趋势: 高于MA20,17.55,18.24,0.90X
002636,金安国纪,2026-04-24,41.33,-4.44%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,36.23,30.27,0.88X
002020,京新药业,2026-04-24,15.39,1.99%,量能: 放量 (1.67X),15.83,16.15,1.67X
603356,华菱精工,2026-04-24,17.38,2.24%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),16.89,17.98,1.22X
