Code,Name,Latest_Date,Latest_Close,Matched_Conditions,MA5,MA20,MA60,Volume_Ratio
603131,上海沪工,2025-11-28,27.86,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",27.49,26.32,23.17,0.73X
600461,洪城环境,2025-11-28,9.41,"价格强势 (高于MA5,MA20,MA60)",9.29,9.37,9.16,1.06X
603130,云中马,2025-11-28,40.95,"价格强势 (高于MA5,MA20,MA60)",39.24,38.92,40.80,0.45X
603777,来伊份,2025-11-28,13.56,"价格强势 (高于MA5,MA20,MA60)",13.35,13.42,13.44,0.98X
603766,隆鑫通用,2025-11-28,14.18,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",14.03,13.65,13.11,0.46X
601058,赛轮轮胎,2025-11-28,15.95,"价格强势 (高于MA5,MA20,MA60)",15.81,15.94,15.04,0.86X
603100,川仪股份,2025-11-28,24.24,多头排列 (MA5>MA20>MA60),25.37,24.54,23.78,0.22X
603173,福斯达,2025-11-28,38.44,放量上涨 (1.54X),37.99,39.15,45.79,1.54X
601010,文峰股份,2025-11-28,2.97,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.81X)",2.72,2.74,2.74,2.81X
600060,海信视像,2025-11-28,25.91,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",25.62,25.20,23.97,0.86X
603316,诚邦股份,2025-11-28,15.19,"价格强势 (高于MA5,MA20,MA60)",14.83,15.14,13.06,1.29X
600191,华资实业,2025-11-28,11.54,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",10.81,10.01,8.64,1.18X
600203,福日电子,2025-11-28,14.6,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (2.23X)",13.50,14.26,14.07,2.23X
000001,平安银行,2025-11-27,11.71,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",11.70,11.64,11.49,0.93X
603897,长城科技,2025-11-28,26.6,"价格强势 (高于MA5,MA20,MA60)",25.47,25.76,25.88,0.87X
600824,益民集团,2025-11-28,4.61,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",4.52,4.46,4.39,0.95X
601198,东兴证券,2025-11-19,13.13,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",12.99,12.73,12.07,1.41X
600630,龙头股份,2025-11-28,10.23,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",10.04,9.70,9.23,0.84X
600080,金花股份,2025-11-28,8.55,多头排列 (MA5>MA20>MA60),8.69,8.29,7.66,0.56X
603895,天永智能,2025-11-28,29.8,放量上涨 (2.51X),27.67,28.84,29.82,2.51X
605166,聚合顺,2025-11-28,11.1,放量上涨 (2.69X),10.57,11.07,11.53,2.69X
600996,贵广网络,2025-11-28,12.11,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",11.85,10.41,9.56,0.71X
603096,新经典,2025-11-28,19.05,"价格强势 (高于MA5,MA20,MA60)",18.74,18.76,18.26,1.01X
603317,天味食品,2025-11-28,12.9,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",12.89,12.86,12.07,1.04X
600877,电科芯片,2025-11-28,15.54,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",15.40,14.88,14.25,1.33X
605507,国邦医药,2025-11-28,23.97,"多头排列 (MA5>MA20>MA60) | 价格强势 (高于MA5,MA20,MA60)",23.63,23.18,22.98,0.94X
600234,科新发展,2025-11-28,12.74,"价格强势 (高于MA5,MA20,MA60) | 放量上涨 (1.66X)",11.80,11.91,10.81,1.66X
